#Programa,Categoría funcional,Categoría económica,Fecha,NIF,Nombre empresa,Descripción,Importe
Administración General ,920,22709,2019-01-01,A08663619,"CAIXABANK, S.A.",CAIXA 479 INTERESES-COMISIONES-GASTOS,12.0
Administración General de Deportes,340,21300,2019-05-23,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/04/2019",74.21
Administración General de Deportes,340,21300,2019-05-23,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,52.15
Administración General de Deportes,340,21300,2019-05-23,B83658518,AVD3 SL,Fra. CUOTA MANTENIMIENTO,111.08
Administración General de Deportes,340,21300,2019-05-23,B79381141,SANEAMIENTOS MORAL SL,Fra. BOMBA GRUNFOS 32-90/2,908.95
Administración General de Deportes,340,22000,2019-05-23,B73347494,"PC COMPONENTES Y MULTIMEDIA,S.L.",Fra armario rack - Pagado Caja fija Deportes CF 03/19,87.4
Administración General de Deportes,340,22103,2019-05-23,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393000 GASoLEO C  : POLIDEPORTIVOPOLIDEPORTIVO C/ CANADA 50 28411 MORALZARZAL Madrid,5120.02
Administración General de Deportes,340,22103,2019-05-23,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393400 GASoLEO C   DIRECCION DE SUMINISTRO: CAMPO DE FUTBOL CALLE CANADA 50 28411 MORALZARZAL Madrid,731.43
Administración General de Deportes,340,22199,2019-05-23,A28571750,SUPERMERCADOS HIBER SA,Fra. suministro agua muineral para deportes,22.68
Administración General de Deportes,340,22199,2019-05-23,A28571750,SUPERMERCADOS HIBER SA,Fra.  Leche pascual para deportes,3.0
Administración General de Deportes,340,22199,2019-05-23,A28571750,SUPERMERCADOS HIBER SA,Fra suministro agua  Pagado CF 03 Deprotes,15.3
Administración General de Deportes,340,22300,2019-05-23,A28741262,FRANCISCO LARREA SA,Fra. Traslado de Moralzarzal a Torrelodones  06/04/19 50 pax,159.5
Administración General de Deportes,340,22300,2019-05-23,A28741262,FRANCISCO LARREA SA,Fra. Traslado de Moralzarzal a Estadio Complutense 24/04/19 40 pax,159.5
Administración General de Deportes,340,22400,2019-05-23,A28013050,CASER SEGUROS,Fra. POLIZA 50220852 RECIBO 5565501 EFECTO 08-05-19 A 08-08-19 ACCIDENTES,1173.51
Administración General de Deportes,340,22609,2019-05-23,A28571750,SUPERMERCADOS HIBER SA,Fra. suministro de  alimentos deportes,67.31
Administración General de Deportes,340,22609,2019-05-23,B81678518,"OLD COTTON FIELDS ESPAÑA, S.L.","Fra. CAMISETA MANGA CORTA COLOR BLANCO ADULTO Y NIÑO DISEÑO OLIMPIADAS ESCOLARES 2019, TALLAS: 90/T10-12, 46/S, 12/M, 6/L, 2/XL,",1864.39
Piscina Cubierta Municipal ,343,21300,2019-05-23,B86524923,AMBIENTE NATURAL SL,"Fra. Tratamientos contra la Legionelosis Limpieza, desinfección y mantenimiento contra la Legionelosis, correspondiente  a los meses (Ene-Feb-Marz),",263.18
Piscina Cubierta Municipal ,343,21300,2019-05-23,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,59.65
Piscina Cubierta Municipal ,343,22103,2019-05-23,A80298839,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,Fra. F108393500 GASoLEO C   DIRECCION DE SUMINISTRO: PISCINA CALLE CANADA 50 28411 MORALZARZAL Madrid,10969.99
Piscina Cubierta Municipal ,343,22706,2019-05-23,B86397205,SPORTMADNESS EVENTOS SL,Fra. CLASES DE NATACION ABRIL  Matronatación,4190.15
Piscina Cubierta Municipal ,343,22799,2019-05-23,B86397205,SPORTMADNESS EVENTOS SL,Fra. SOS ABRIL,6162.77
Órganos de gobierno,912,22605,2019-05-23,J87502357,A6 COMUNICA SC,Fra. PÁGINA AQUÍ EN LA SIERRA (mayo_19),556.6
Órganos de gobierno,912,22605,2019-05-23,B83589879,LA VOZ DE LA SIERRA  S.L.,Fra. PAGINA A COLOR LA VOZ DE LA SIERRA,420.0
Administración General ,920,21300,2019-05-23,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/04/2019",74.2
Administración General ,920,21300,2019-05-23,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,87.9
Administración General ,920,21600,2019-05-23,B85363471,STRATO NETWOKS SL,Fra. Mantenimiento infraestructura inalÃ¡mbricas Febrero 2019,356.95
Administración General ,920,21600,2019-05-23,B85363471,STRATO NETWOKS SL,Fra. Mantenimiento infraestructura inalÃ¡mbricas Marzo 2019,356.95
Administración General ,920,21601,2019-05-23,B86834421,CODEVINCE DESARROLLO WEB SL,Fra. Mantenimiento web Abril 2019,484.0
Administración General ,920,22200,2019-05-23,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 649731963 Movistar - Tipo de contrato: Contrato Negocios - Nº de líneas: 1 - Lineas Facturadas: 649731963 - Periodo de Trafico: (18 Mar, a 17 Abr, 19) - Periodo de Cuotas",24.89
Administración General ,920,22200,2019-05-23,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 22 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Mar, a 17 A",26.54
Administración General ,920,22200,2019-05-23,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 628097814 683584508 Movistar - Tipo de contrato: Contrato Internet Móvil - Nº de líneas: 2 - Lineas Facturadas: 628097814 683584508 - Periodo de Trafico: (18 Mar, a 17 Ab",18.76
Administración General ,920,22602,2019-05-23,Q7850065I,PUBLICACIONES OFICIALES-BOCAM,Fra Subasta pliego aprovechamiento maderas,222.34
Administración General ,920,22709,2019-05-23,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Administración General ,920,22710,2019-05-23,B36980753,CALIXTO ESCARIZ SLU,Fra. HONORARIOS Servicios jurídicos profesionales y defensa jurídica del Ayuntamiento correspondiente al mes de abril de 2019,998.25
Administración General ,920,22717,2019-05-23,B35664879,MHP SERVICIOS DE CONTROL SL,Fra. Servicio Integral de Control Horario: 01/04/2019 a 30/04/2019,484.0
Administración General ,920,22721,2019-05-23,B82561267,DAVARA & DAVARA ASESORES JURIDICOS S L,Fra. DPO_Abr,937.75
Administración General ,920,22721,2019-05-23,Q2866023A,COSITAL,"Fra. Suscripción COSITALNETWORK enero 2019 a diciembre 2019, Carlos Jaramillo Martín Vicesecretario-Interventor Ayto, Moralzarzal",120.0
Juventud,339,22609,2019-05-24,Q2873018B,INSTITUCION FERIAL DE MADRID,Fra Entrada Japand Weekend,26.0
Juventud,339,22609,2019-05-24,070044102V,"TABERNERO*GARCIA,ALICIA",Fra Varios comida excursion Japand Weekend,24.0
Juventud,339,22609,2019-05-24,B82350869,DIVER KARTING SL,Fra Sesion no socio fin de semana Karts MoralJoven 2019,84.0
Administración General ,920,22721,2019-05-24,Q2866023A,COSITAL,Fra. III Curso El Control Interno en la Administración local - PAGADO,149.99
Seguridad y Orden Público,132,21400,2019-05-26,B86747219,CARROCERIAS LAS MATAS SL,Fra. HONDA CRV  2589HDZ,470.56
Protección civil,135,21400,2019-05-26,B86747219,CARROCERIAS LAS MATAS SL,Fra. Toyota Hilux  5690FFK   P. CIVL,39.41
Protección civil,135,22199,2019-05-26,051381536L,"JUSDADO*HERNAN,MARIA",Fra Material ferreteria varios,231.76
Protección civil,135,23020,2019-05-26,A28571750,SUPERMERCADOS HIBER SA,Fra  Desayunos voluntarios CF02,29.34
Protección civil,135,23020,2019-05-26,050284545J,"CRESPO*NOTARIO,JOSE ANTONIO",Fra Avituallamiento elecciones generales,25.5
Gestión del Padrón Municipal de Habitantes,923,61000,2019-05-26,A08112716,"ACSA OBRAS E INFRAESTRUCTURAS, S.A.U.","Fra. REFORMA Y MODIFICACIÓN DE LA RED DE ABASTECIMIENTO DEL PASEO DE LOS ENEBROS, MORALZARZAL (MADRID), EXPTE CONTRATACIÓN: 6072/18, EXPTE GESTIÓN: 1383/19, 3ª CERTIFICACIÓN T",86125.25
Parques y jardines,171,22719,2019-05-26,048929407N,"SANCHEZ*OCAÑA,FERNANDO",Fra. Cuota fija correspondiente al mes de abril 2019,278.3
Parques y jardines,171,22719,2019-05-26,048929407N,"SANCHEZ*OCAÑA,FERNANDO",Fra. Cuota fija correspondiente al mes de abril 2019,403.33
Administración General de servicios sociales,230,22601,2019-05-26,B43728096,ACUSMATIC INGENIERIA ACUSTICA Y TELEC S.L.L.,"Fra. Servicios prestados por Jorge Fides como técnico de sonido el día 16 de marzo,",193.6
Asistencia a personas dependientes,234,22601,2019-05-26,005420632S,"GARCIA*BARTOLOME,MARIA AZUCENA",Fra Ramo flores homenaje a mayores 2019,120.0
Asistencia a personas dependientes,234,22601,2019-05-26,070052779T,"GONZALEZ*GARCIA-CALVO,SERGIO",Fra Montaje de paragüas comida mayores 2019,1815.0
Fomento del Empleo,241,22706,2019-05-26,G80980584,ASOCIACION ESLABON INICIATIVA PROMOCION DE EMPLEO,"Fra. Actividades mes Programa Dinamizamoral 2019: Facturación actividad de abril de 2019,",2923.75
Administración general de educación,320,21300,2019-05-26,A82825456,"SALTOKI CENTRO, S.A.",Fra. 7100080210|CELER LED HIGHBAY HE NR 150W 90¿ 4000K 21500LM C2,2917.07
Promoción cultural,334,22609,2019-05-26,051427388D,"MARTINEZ*PEREZ,SONIA",Fra. Factura de la IV Muestra de Cine Efímero,9336.67
Promoción cultural,334,22708,2019-05-26,B78565470,SOTO MESA S.L.,Fra. GESTIÓN SERVICIO DOCENTE ESCUELA MUNICIPAL DE MÚSICA Mayo 2019,6000.0
Fiestas populares y festejos,338,22608,2019-05-26,G87956108,MORALZARZAL CHESS ACADEMY,Fra. Ajedrez Fiestas 2018,150.0
Juventud,339,22609,2019-05-26,E83831420,CONFECCIONES HNAS.RECIO CB,Fra. FRA 8 CHR 100 METROS CINTAS DE RASO COLORES,48.0
Juventud,339,22609,2019-05-26,070019913R,"SAN SEGUNDO*BLAZQUEZ,ARACELI",Fra 12 tortillas de patata cruz de mayo Juventud,120.0
Juventud,339,22609,2019-05-26,A28571750,SUPERMERCADOS HIBER SA,Fra. Varios,22.03
Juventud,339,22609,2019-05-26,A28571750,SUPERMERCADOS HIBER SA,Fra. Varios,51.96
Juventud,339,22609,2019-05-26,A28571750,SUPERMERCADOS HIBER SA,Fra. Varios,23.85
Juventud,339,22609,2019-05-26,G45810710,ASOCIACION CULTURAL PIES DE GATO,"Fra. TALLER DE JUEGOS DE ANTAÑO TALLER ENSEÑANZA JUEGOS DE ANTAÑO DIA 03,05,2019",398.0
Juventud,339,22609,2019-05-26,B85794105,REPROMORAL SL,Fra. MARCAJE 100 CINTAS SOMBRESOS,249.99
Administración General de Deportes,340,22609,2019-05-26,B83633933,EVENTOS DE LA SIERRA SL,Fra. DESAYUNOS MINI OLIMPIADAS 2019,250.47
"Adm.General Comercio,turismo y PIMES",430,22610,2019-05-26,B83633933,EVENTOS DE LA SIERRA SL,Fra. CATERING APERITIVO IX ENCUENTRO FORMATIVO,130.9
"Adm.General Comercio,turismo y PIMES",430,22610,2019-05-26,J87502357,A6 COMUNICA SC,"Fra. Insercion publicitaria ""AQUI EN LA SIERRA"" - OLE MORAL 2019",484.0
"Adm.General Comercio,turismo y PIMES",430,22610,2019-05-26,X6825569C,"ILIYANOV*PARARLYUZOV,STEFAN",Fra Bebidas taller Dinamizamoral 7/5/2019,43.8
Administración General ,920,21600,2019-05-26,B85363471,STRATO NETWOKS SL,Fra. Mantenimiento infraestructura inalÃ¡mbricas Enero 2019,356.95
Gestión del Padrón Municipal de Habitantes,923,62600,2019-05-26,070045048C,"JABALERA*UBEDA,SONIA",Fra material vario luz y sonido juventud,4489.1
Gestión del Padrón Municipal de Habitantes,923,62600,2019-05-26,A63524771,MEDIA MARKT COLLADO VILLALBA,Fra. SAMSUNG UE55NU7095UXXC FDP: 133 UHD-LCD TV 51?-59?,912.98
Vías públicas,153,21000,2019-05-28,0.0,0.0,EXPTE 4254/2019 P.JUSTIFICAR SENSORES FUENTES PUBLICAS,411.4
Administración General ,920,22709,2019-05-28,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-05-28,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22706,2019-05-29,B84840685,TPF GETINSA EUROESTUDIOS SL,"Fra. Coordinación de Seguridad y Salud en obras y servicios de mantenimiento realizados por el Ayuntamiento de Moralzarzal, Nº Expte: 3448-2018, Trabajos correspondientes al m",1209.62
Asistencia a personas dependientes,234,22719,2019-05-29,002913767N,"HUELAMO*MERCADER,JORGE",Fra Gimnasia mayores Abril 2019,630.53
Administración general de educación,320,22706,2019-05-29,B85646859,AMMA  EDUCACION INTEGRAL SL,Fra. CASA DE NIÑOS ABRIL 2019,10916.26
Promoción cultural,334,22609,2019-05-29,F48230908,"MARKELIÑE, SCL","Fra. Una representación de la obra ""Chef Nature"" el día 3/5/19",1683.0
Promoción cultural,334,22706,2019-05-29,051077669M,"MARTIN VELEZ,BARBARA AMPARO",Fra Clases dibujo y pintura Mayo 2019,988.0
Promoción cultural,334,22706,2019-05-29,G85970846,ASOCIACION ENTRE COMILLAS,"Fra. Clases de teatro durante el mes de mayo, Con un total de  43 Alumnos a 20¬ por alumno",860.0
Promoción cultural,334,22706,2019-05-29,000799597W,"ANDRADE*CRUZ,MARIA ASCENSION",Fra Taller corte y confeccion + Patchwork Mayo 2019,556.5
Promoción cultural,334,22706,2019-05-29,B86822707,ESCUELA DUENDE SL,Fra. CLASES DE DANZA Clases de Baile  347 alumnos x 21¬ Clases de examen 24 alumnos x 14¬,7623.0
Promoción cultural,334,22706,2019-05-29,B85647352,DARFE LEARNING CONSULTING SL EN CONSTITUCION,"Fra. 2019013 Taller de formación de meditación, Mindfullness,  Factura correspondiente a la octava mensualidad de las nueve ofertadas en el proyecto para el curso 2018-2019",399.3
Promoción cultural,334,22706,2019-05-29,005279067S,"MORAS*ALVAREZ,CONCEPCION",Fra Taller restauracion Mayo 2019,1470.15
Promoción cultural,334,22706,2019-05-29,B86822707,ESCUELA DUENDE SL,Fra. CLASES DE PILATES Clases de Pilates 114 alumnos x 21¬,2394.0
Promoción cultural,334,22706,2019-05-29,B86485752,"FANTASIA EXTRAESCOLARES, S.L.",Fra. TALLER ENCAJE DE BOLILLOS ABRIL 2019,523.71
Administración General de Deportes,340,22609,2019-05-29,G84072826,CLUB DEPORTIVO ELEMENTAL HARVYE,"Fra. FUTBOL 7 Arbitrajes 6, 7,13, 14, 27 y 28 de Abril",864.0
Administración General de Deportes,340,22706,2019-05-29,B86397205,SPORTMADNESS EVENTOS SL,Fra. ACTIVIDADES COLECTIVAS ABRIL - PILATES,7279.11
Administración General de Deportes,340,22706,2019-05-29,B78864519,"DEPORGEST ,S.L.",Fra. Escuelas de Tenis y Padel MAYO 2019,6311.36
Administración General de Deportes,340,22706,2019-05-29,B81493645,CENTRO DEPORTIVO VILLALBA SL,Fra. judo,1006.72
Administración General de Deportes,340,22706,2019-05-29,B81493645,CENTRO DEPORTIVO VILLALBA SL,Fra. karate,566.28
Administración General ,920,22000,2019-05-29,B28798775,ATM DOS SL,Fra. CONFECCIÓN PAPELETAS ELECCIONES MUNICIPALES 2019 RECONOCIMIENTO DE LA OBLIGACIÓN,3082.73
Promoción cultural,334,21200,2019-05-30,051381536L,"JUSDADO*HERNAN,MARIA",Fra Material vario ferreteria Cultura,54.52
Promoción cultural,334,21200,2019-05-30,B78295300,SEGOPI CENTRO SL,Fra Material vario pintura Cultura,11.81
Promoción cultural,334,21300,2019-05-30,051381536L,"JUSDADO*HERNAN,MARIA",Fra Copia llave normal Cultura,3.61
Promoción cultural,334,22000,2019-05-30,B84238690,SEGOVIA DOMINGUEZ SL,Fra Material vario papeleria Cultura,7.75
Promoción cultural,334,22199,2019-05-30,051381536L,"JUSDADO*HERNAN,MARIA",Fra Material vario ferreteria Cultura,7.9
Promoción cultural,334,22609,2019-05-30,A28076420,REPSOL BUTANO SA,Fra Gas envasado para Cultura,25.64
Promoción cultural,334,22609,2019-05-30,A28571750,SUPERMERCADOS HIBER SA,Fra Alimentos varios Cultura,14.0
Promoción cultural,334,22609,2019-05-30,005420632S,"GARCIA*BARTOLOME,MARIA AZUCENA",Fra Centro flores Cruz Mayo 2019,30.0
Promoción cultural,334,22609,2019-05-30,051381536L,"JUSDADO*HERNAN,MARIA",Fra Material vario ferreteria Cultura,102.8
Promoción cultural,334,22609,2019-05-30,A46103834,MERCADONA  S.A.,Fra 20ud Baguette Cultura,34.0
Seguridad y Orden Público,132,21400,2019-06-03,B86747219,CARROCERIAS LAS MATAS SL,Fra. HONDA CRV 2586HDZ,179.9
Protección civil,135,22103,2019-06-03,B81752420,CONSTRUCCIONES PLAZA 4 SL,Fra. FACTURA PROTECCION CIVIL ABRIL 2019,246.94
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22706,2019-06-03,B84840685,TPF GETINSA EUROESTUDIOS SL,"Fra. Coordinación de Seguridad y Salud en obras y servicios de mantenimiento realizados por el Ayuntamiento de Moralzarzal, Nº Expte: 3448-2018, Trabajos correspondientes al m",1209.62
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22706,2019-06-03,005275614N,"CASTILLO*MONTOYA DEL,ENRIQUE","Fra. Prestación de servicios de ingeniería industrial para el Ayuntamiento, según contrato administrativo expediente 387/2019 de fecha 5 de Mayo de 2019, Según cláusula 24,2,-",2640.0
Vías públicas,153,21000,2019-06-03,B83607044,RADALKI ALQUILER S L,Fra. BANDEJA VIBRANTE  80 KG,22.26
"Recogida, eliminación y tratamiento de residuos",162,22700,2019-06-03,A79524054,URBASER S A,"Fra. IMPORTE CORRESPONDIENTE A LA PRESTACION DEL SERVICIO DE RECOGIDA Y TRANSPORTE DE RESIDUOS SOLIDOS URBANOS (EXPTE, CON/2360-2017), SEGUN CONTRATO ACORDADO DE FECHA 16 DE N",20606.39
"Recogida, eliminación y tratamiento de residuos",162,22700,2019-06-03,A79524054,URBASER S A,"Fra. IMPORTE CORRESPONDIENTE A LA PRESTACION DEL SERVICIO DE RECOGIDA Y TRANSPORTE DE RESIDUOS SOLIDOS URBANOS (EXPTE, CON/2360-2017), SEGUN CONTRATO ACORDADO DE FECHA 16 DE N",6870.48
"Recogida, eliminación y tratamiento de residuos",162,22702,2019-06-03,A79524054,URBASER S A,Fra.  Punto Limpio mes de MES DE ABRIL DE 2019.,2302.71
Limpieza viaria,163,22700,2019-06-03,A79524054,URBASER S A,"Fra. IMPORTE CORRESPONDIENTE A LA PRESTACION DEL SERVICIO DE LIMPIEZA VIARIA (EXPTE, CON/3594-2017), SEGUN CONTRATO ACORDADO DE FECHA 19 DE DICIEMBRE DE 2017, DURANTE EL MES D",29177.37
Parques y jardines,171,21000,2019-06-03,B81066383,MADERAS MARBELLA CENTRO S.L.,"Fra. M/L PINO SUECIA Vª CEO, 140*45",153.33
Administración General de servicios sociales,230,22601,2019-06-03,070059876J,"SANTOS*BONILLA,MARIA ASCENSION",Fra Taller Carteles y Taller maquillaje dia de la mujer 8M 2019,300.0
Administración General de servicios sociales,230,22609,2019-06-03,B86392461,INNOVAFEMA SL,Fra. Ludoteca y animación,93.32
Administración General de servicios sociales,230,22609,2019-06-03,B43728096,ACUSMATIC INGENIERIA ACUSTICA Y TELEC S.L.L.,"Fra. Servicios prestados por Jorge Fides como técnico de sonido el día 18 de mayo,",193.6
Administración General de servicios sociales,230,22609,2019-06-03,B86484680,IDEA HOTEL ESTANCIAS CREATIVAS SL,Fra. Diseño Campaña-Creatividad y diseño CAMPAÑA CONTRA LA VIOLENCIA DE GENERO-,5610.17
Asistencia a personas dependientes,234,22601,2019-06-03,005420632S,"GARCIA*BARTOLOME,MARIA AZUCENA",Fra ramo flores variado,20.0
Asistencia a personas dependientes,234,22601,2019-06-03,002538729N,"MARTINEZ*DIAZ DEL CAMPO,MIGUEL",Fra placas homenaje mayores,608.87
Asistencia a personas dependientes,234,22601,2019-06-03,005420632S,"GARCIA*BARTOLOME,MARIA AZUCENA",Fra Ramo variado Rondalla,20.0
Asistencia a personas dependientes,234,22719,2019-06-03,002913767N,"HUELAMO*MERCADER,JORGE",Fra gimnasia mayores mayo,840.71
Asistencia a personas dependientes,234,22719,2019-06-03,051644706T,"DOMINGUEZ*RUBIO,MARIA VICTORIA","Fra. Clases Taichi mes de mayo días 7, 9, 14, 16, 21, 23, 28 y 30",813.12
"Hospitales, servicios asistenciales y centros de s",312,21300,2019-06-03,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",57.31
Gestión del Padrón Municipal de Habitantes,923,22104,2019-06-03,B86635745,EMERGENCIAS Y FORMACION SANITARIA SLU,"Fra. PANTALON PIXEL BLANCO,",1158.03
Bibliotecas y Archivos,332,22609,2019-06-03,071954500N,"GONZALEZ*ANDRES,ALVARO",Fra Cuenta cuentos Biblioteca 18/05/2019,250.0
Bibliotecas y Archivos,332,22609,2019-06-03,G86596814,ASOCIACION LA TORTUGA VELOZ,Fra. ACTUACIÓN EL PIRATA GUARRADATA Y LA ISLA DE LA PALMERA EN FECHA 27 DE ABRIL DE 2019 A LAS 18:00 HORAS,500.0
Promoción cultural,334,21300,2019-06-03,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",2.12
Promoción cultural,334,22609,2019-06-03,B85955904,JACKPOT PRODUCCIONES SL,Fra. 1 Actuación del musical infantil la Banda de Noa el día 11 de mayo en el teatro municipal de Moralzarzal,3630.0
Promoción cultural,334,22609,2019-06-03,A28571750,SUPERMERCADOS HIBER SA,Fra. Cruz de mayo,3198.69
Promoción cultural,334,22609,2019-06-03,B86392461,INNOVAFEMA SL,"Fra. Ludoteca Cine Efímero y animación Cine Efímero días 15,16,22 y 23 de Febrero de 2019",823.47
Promoción cultural,334,22609,2019-06-03,B84437656,BOGAMUZIKART S.L.,"Fra. Organización conciertos en primvara celebrados los días 22 de marzo, 12 de abril y 10 de mayo en Moralzarzal",2702.33
Promoción cultural,334,22609,2019-06-03,B84437656,BOGAMUZIKART S.L.,"Fra. Organización conciertos en primvara celebrados los días 22 de marzo, 12 de abril y 10 de mayo en Moralzarzal",2702.33
Promoción cultural,334,22609,2019-06-03,B84437656,BOGAMUZIKART S.L.,"Fra. Organización conciertos en primvara celebrados los días 22 de marzo, 12 de abril y 10 de mayo en Moralzarzal",2702.34
Promoción cultural,334,22609,2019-06-03,052868910Y,"MARTIN*SERRANO,MARTA",Fra. FIESTA INFANTIL,699.38
Promoción cultural,334,22609,2019-06-03,A82825456,"SALTOKI CENTRO, S.A.",Fra. 2552010018|ALICATES PICO 200MM BULTMEIER,1370.41
Promoción cultural,334,22700,2019-06-03,B28536092,LIMPIEZAS UNIDAS SL,Fra. 1 MADRID             Limpieza de Casa de la  Cultura durante el mes de Abril 2019,1613.23
Instalaciones de ocupación del tiempo libre,337,22700,2019-06-03,B82372020,LOEZ LIMPIEZA INTEGRAL S.L.,Fra. LIMPIEZA DE CRISTALES PLAZA DE TOROS DE MORALZARZAL,1203.95
Juventud,339,22609,2019-06-03,G87412672,LA SONRISA DE GUILLE,Fra. Sombrero Zelio,107.57
Administración General de Deportes,340,21300,2019-06-03,A82825456,"SALTOKI CENTRO, S.A.",Fra. 6180615135|KG CABLE CU DESNUDO 35MM TOMA TIERRA (BOBINA),1254.54
Administración General de Deportes,340,21300,2019-06-03,B83658518,AVD3 SL,"Fra. CABLE ESPECIAL PREMIUN POLIAMIDA 6X4,",69.26
Administración General de Deportes,340,21300,2019-06-03,003425416A,"HERRERO*ALVEROLA,RAQUEL",Fra. Dispositivos de conexión 112 Comunicador 112 automático sin tarjeta SIM,733.26
Administración General de Deportes,340,21300,2019-06-03,B83658518,AVD3 SL,"Fra. H, TECNICO MANTENIMIENTO",1261.33
Administración General de Deportes,340,21300,2019-06-03,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",40.78
Administración General de Deportes,340,22609,2019-06-03,B86986742,"PLAY OUT,S.L.","Fra. Pagos Fichas + arbitrajes FFM-IVA suplido correspondiente a pagos a la FFM Alevín 2 fichas x 28,59¬ = 57,18¬ Arbitraje juvenil 2 x 71,18¬ = 142,36¬ Arbitraje Cadete 58,98",315.5
Órganos de gobierno,912,21300,2019-06-03,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",0.03
Órganos de gobierno,912,21300,2019-06-03,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",9.09
Órganos de gobierno,912,22605,2019-06-03,B83329706,MORALDIST SL,"Fra. BAND,AYTO,MOR",2792.08
Órganos de gobierno,912,22706,2019-06-03,B83633933,EVENTOS DE LA SIERRA SL,Fra. CATERING DESAYUNOS SALUDABLE EDIFICIOS MUNICIPALES DE MORALZARZAL EL DIA 9 DE MAYO DEL 2019,375.05
Administración General ,920,21300,2019-06-03,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",64.94
Administración General ,920,21300,2019-06-03,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",12.93
Administración General ,920,21300,2019-06-03,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",58.0
